epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.39525,0.75582,3.07335,1.27484,0.99033,0.33333,0.76871,0.70458,0.48396,2.47889,1.03458,5.001e-05,5.001e-05,5.001e-05
2,9.72802,0.58643,2.85551,1.2168,0.6389,1,0.83,0.747,0.51412,3.15827,1.02544,0.000115535,0.000115535,0.000115535
3,17.7266,0.68551,1.54484,1.13853,0.50669,1,0.80463,0.72182,0.48561,1.63578,1.05349,0.000179739,0.000179739,0.000179739
4,24.3878,0.67653,1.4584,1.16559,0.41521,1,0.58634,0.4292,0.45612,4.81098,1.07326,0.000242624,0.000242624,0.000242624
5,30.8575,0.65839,1.13068,1.05384,0.78303,0.66667,0.78875,0.69207,0.56298,1.71699,1.10757,0.000304187,0.000304187,0.000304187
6,37.8847,0.67256,1.2546,1.13336,0.80951,0.69518,0.88775,0.76569,0.69645,1.54034,1.24395,0.000364431,0.000364431,0.000364431
7,46.0679,0.82765,1.25757,1.24246,0.97227,0.80023,0.929,0.65889,1.03003,1.71095,1.84492,0.000423355,0.000423355,0.000423355
8,52.373,0.84958,1.28511,1.21756,0.45713,0.64748,0.71371,0.504,0.96517,2.42959,1.94405,0.000480958,0.000480958,0.000480958
9,58.5266,0.71951,1.03998,1.17989,0.3338,0.83333,0.56177,0.43182,1.13812,4.7692,2.03164,0.000537241,0.000537241,0.000537241
10,64.4617,0.94564,1.40153,1.34875,0.73966,0.16667,0.11818,0.05555,1.23864,3.88164,1.99129,0.000592203,0.000592203,0.000592203
11,70.5963,0.73683,1.23892,1.20407,0.58749,0.5,0.47271,0.3291,1.11302,3.02052,1.90644,0.000645846,0.000645846,0.000645846
12,77.2296,0.84264,1.06413,1.18438,0.36976,0.5,0.29614,0.19926,1.51706,3.51778,2.50396,0.000698168,0.000698168,0.000698168
13,84.0932,0.91559,1.20806,1.2672,0.29078,0.48663,0.37886,0.29484,0.99384,3.21376,2.1138,0.00074917,0.00074917,0.00074917
14,90.3854,0.92707,1.19713,1.23089,0.23563,0.5,0.41906,0.26735,1.34655,4.46089,2.35703,0.000798851,0.000798851,0.000798851
15,96.9299,0.94935,1.26877,1.26254,0.82641,0.66667,0.6245,0.57827,1.05112,1.87437,1.65772,0.000847213,0.000847213,0.000847213
16,102.962,0.76685,1.0046,1.18872,0.82641,0.66667,0.6245,0.57827,1.05112,1.87437,1.65772,0.000894254,0.000894254,0.000894254
17,109.003,0.90129,1.13686,1.25187,0.97131,0.5,0.67889,0.58851,1.20503,1.75129,2.3624,0.000939975,0.000939975,0.000939975
18,115.261,0.8434,1.00605,1.15142,0.22112,0.83333,0.44039,0.29621,1.47993,2.77917,2.61566,0.000984375,0.000984375,0.000984375
19,121.494,0.84416,0.93531,1.19766,0.22112,0.83333,0.44039,0.29621,1.47993,2.77917,2.61566,0.00102746,0.00102746,0.00102746
20,127.397,1.06753,1.1357,1.37538,0.69676,0.33333,0.29629,0.16762,2.19924,3.70973,3.88217,0.00106922,0.00106922,0.00106922
21,134.226,0.91273,1.00404,1.19125,0.07228,0.33333,0.05565,0.01563,2.44846,4.25993,4.12673,0.00110966,0.00110966,0.00110966
22,140.814,1.09593,1.26067,1.36664,0.07228,0.33333,0.05565,0.01563,2.44846,4.25993,4.12673,0.00114877,0.00114877,0.00114877
23,147.167,0.98579,1.1308,1.331,0.66139,0.16667,0.09357,0.06198,2.38256,3.96051,4.50719,0.00118657,0.00118657,0.00118657
24,153.717,0.87268,1.14381,1.23457,0.66139,0.16667,0.09357,0.06198,2.38256,3.96051,4.50719,0.00122305,0.00122305,0.00122305
25,159.971,0.98311,1.24537,1.3389,0.72079,0.33333,0.20659,0.07666,2.09904,4.92748,3.20369,0.00125821,0.00125821,0.00125821
26,166.295,0.89689,1.1131,1.18338,0.72079,0.33333,0.20659,0.07666,2.09904,4.92748,3.20369,0.00125442,0.00125442,0.00125442
27,172.63,0.97168,1.08231,1.26054,0.28404,0.47681,0.34067,0.19124,2.42896,2.66128,5.03279,0.00123791,0.00123791,0.00123791
28,179.066,1.08269,1.13001,1.41163,0.28404,0.47681,0.34067,0.19124,2.42896,2.66128,5.03279,0.00122141,0.00122141,0.00122141
29,185.901,0.94928,1.07618,1.27438,0.68888,0.66667,0.9125,0.7281,0.93723,1.45732,1.81577,0.00120491,0.00120491,0.00120491
30,191.916,0.93694,1.1684,1.22271,0.68888,0.66667,0.9125,0.7281,0.93723,1.45732,1.81577,0.0011884,0.0011884,0.0011884
31,199.29,0.91686,1.12718,1.20936,0.47613,0.5,0.54037,0.33221,1.37534,5.37415,2.04239,0.0011719,0.0011719,0.0011719
32,206.013,0.87298,0.98135,1.22907,0.47613,0.5,0.54037,0.33221,1.37534,5.37415,2.04239,0.0011554,0.0011554,0.0011554
33,212.543,0.9225,0.9752,1.24936,0.79421,0.5,0.67223,0.50251,1.23708,4.63738,1.88769,0.00113889,0.00113889,0.00113889
34,219.86,0.99035,1.02846,1.25313,0.79421,0.5,0.67223,0.50251,1.23708,4.63738,1.88769,0.00112239,0.00112239,0.00112239
